feel_depressed,comparison_frequency,seeks_validation,distractibility_scale,difficulty_concentrating,interest_fluctuation,sleep_issues,usage_without_purpose,distraction_while_busy,age,gender,relationship_status,occupation_status
5,4,3,3,3,3,3,2,3,22,Female,Single,University Student
5,3,3,3,3,1,4,3,4,23,Male,In a relationship,University Student
5,1,2,3,4,5,5,4,2,25,Male,Single,Salaried Worker
4,2,4,5,5,5,2,4,5,21,Male,Single,School Student
4,4,1,3,5,4,5,4,5,30,Female,Single,Salaried Worker
3,4,2,3,3,3,2,2,4,23,Female,Single,University Student
3,3,3,5,4,4,2,4,5,22,Male,In a relationship,Salaried Worker
5,5,2,4,3,4,3,5,5,21,Female,In a relationship,University Student
1,1,5,4,2,4,1,5,3,20,Female,In a relationship,University Student
2,1,3,2,2,3,4,3,2,18,Female,Single,University Student
2,2,2,2,2,3,1,3,3,20,Female,Single,University Student
5,3,1,3,3,4,5,4,3,15,Female,Single,School Student
3,1,1,3,5,4,5,5,3,22,Male,Single,University Student
2,2,3,5,5,4,2,2,5,17,Female,Single,School Student
5,3,1,4,4,5,5,2,3,21,Male,Single,University Student
4,3,2,1,4,5,4,5,1,22,Female,Single,University Student
3,4,3,4,5,3,4,4,3,23,Female,Married,University Student
3,1,1,1,1,1,3,2,1,24,Male,Single,University Student
5,3,2,5,5,5,4,4,5,21,Female,In a relationship,University Student
5,5,4,5,5,5,5,5,5,22,Female,Single,University Student
5,5,5,5,5,5,5,5,5,22,Female,Single,University Student
5,5,3,4,4,4,5,3,4,21,Female,Single,University Student
4,4,3,2,4,2,4,3,3,21,Female,Single,University Student
3,1,3,2,3,3,5,5,4,18,Male,Single,School Student
2,2,4,2,2,2,5,3,2,19,Male,Single,University Student
5,1,1,4,5,1,5,5,4,22,Male,Single,University Student
5,4,5,5,4,5,1,4,2,21,Other,Single,University Student
5,5,3,5,4,3,5,5,5,21,Female,Single,University Student
5,2,5,4,5,5,4,4,5,22,Male,Single,University Student
4,2,2,3,2,3,2,4,4,21,Female,Single,University Student
4,3,2,5,5,4,4,5,4,23,Male,Married,University Student
1,2,1,2,1,3,4,4,2,19,Male,Single,University Student
4,4,1,4,3,2,2,4,3,26,Male,Single,Salaried Worker
3,2,1,2,1,2,3,5,5,27,Male,Single,Salaried Worker
