,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
const,0.7996247329372568,0.19269520585660233,4.149686700209409,4.0374610970058715e-05,0.42084971118462555,1.1783997546898881
interest_fluctuation,0.22099749063088298,0.048677543729561144,4.540029625543215,7.370318394921409e-06,0.12531354456140975,0.3166814367003562
comparison_frequency,0.18605607088175719,0.04104097351995839,4.533422453813806,7.593544170772462e-06,0.105383095294914,0.26672904646860035
sleep_issues,0.14219106719009808,0.03679155495914172,3.8647746024327083,0.0001289093102222944,0.06987104257914561,0.21451109180105055
distractibility_scale,0.024768974106731637,0.05805481382404596,0.4266480671491272,0.6698558542513757,-0.08934758251072782,0.13888553072419108
difficulty_concentrating,0.2132243274254777,0.05330398277776212,4.000157517581083,7.488896547819242e-05,0.1084463328386604,0.318002322012295
seeks_validation,0.029381429891315855,0.04388838139905367,0.6694580423043212,0.5035738274319453,-0.05688860752458774,0.11565146730721945
