interest_fluctuation,comparison_frequency,sleep_issues,distractibility_scale,difficulty_concentrating,seeks_validation
0.21414709024448103,0.20317548316161851,0.1404629732204793,0.11749198416160107,0.23712191440378858,0.08760055480803144
0.1825231872250728,0.20659211354586937,0.1631469053713848,0.14963753734116336,0.15971439107516314,0.13838586544134673
0.20688724538220432,0.17759008225722034,0.12267677460041533,0.132720881681152,0.27130414314659873,0.08882087293240921
0.225798330252054,0.1891437268728347,0.16173517776458773,0.12357582412809448,0.18379526925752523,0.11595167172490395
0.20424112075566694,0.1538442013476182,0.10681199112862944,0.17271022454226037,0.26333645225611507,0.09905600996971008
0.14618981796401914,0.19233543024342176,0.13489411983279823,0.14690306175296777,0.2702704083158262,0.10940716189096686
0.1925024526042847,0.21692702019124696,0.14854708031022384,0.14262168250572518,0.20783517985146868,0.09156658453705074
0.1790959174105344,0.20773599868378673,0.13326043406893884,0.13272802499319836,0.247876880435456,0.0993027444080858
0.20908759130961752,0.16845478990576176,0.15817863617753813,0.11158505677308969,0.256936721614536,0.09575720421945699
0.20183771484218574,0.15350793062327506,0.1230316653374153,0.17359432872578623,0.23193347538159775,0.11609488508973996
0.23150513927624763,0.16914754638528115,0.14069140512448639,0.116293779076739,0.23487693596720838,0.10748519417003741
0.207285294794186,0.12748886536552648,0.16649036235894624,0.16989345835122216,0.22481051776921349,0.1040315013609056
0.1368146609761807,0.18577301126086654,0.16370954056722806,0.15425986867367802,0.2515118248945708,0.1079310936274758
0.2537803420329849,0.1639195357533083,0.14020829842475163,0.1251729326163656,0.23369787755550822,0.08322101361708126
0.27233012546001756,0.19383567848413327,0.11265393695060595,0.1405107961866236,0.19443322137462962,0.08623624154399001
0.22051752619657258,0.21509512398017794,0.13718469635060246,0.08748754868204785,0.2311274350198505,0.10858766977074862
0.20511436393267435,0.1708324084590364,0.13805926342167552,0.1424716591948583,0.2347734047899801,0.10874890020177536
0.2025079943221186,0.1648506469798164,0.1853333338917723,0.12200661965398674,0.23517544356694936,0.0901259615853564
