feature,importance_mean,importance_std
interest_fluctuation,0.2159557785139242,0.011034307732501353
difficulty_concentrating,0.19208660021117896,0.016259603911094548
comparison_frequency,0.18032723614402682,0.014511965944414278
sleep_issues,0.1292517815369747,0.014009217555763497
seeks_validation,0.09153779664848352,0.00613668880302517
distractibility_scale,0.08835824772537695,0.007991506195329652
